Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2016-02-12T15:00:00Z,PYPL,34.13,2850,Market,Filled,97270.5,Warning: No quote information available at 02/12/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T16:00:00Z,FB,102.59,947,Market,Filled,97152.73,Warning: No quote information available at 02/12/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T16:00:00Z,SQ,9.44,10296,Market,Filled,97194.24,Warning: No quote information available at 02/12/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T17:00:00Z,MSFT,45.63834468,2123,Market,Filled,96890.20575564,Warning: No quote information available at 02/12/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T17:00:00Z,MA,82.176900148,1179,Market,Filled,96886.565274492,Warning: No quote information available at 02/12/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T21:00:00Z,PFE,22.756823305172,4293,Market On Open,Filled,97695.042449104, 
2016-02-16T15:00:00Z,AMZN,520.62,188,Market,Filled,97876.56,Warning: No quote information available at 02/16/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-17T16:00:00Z,MSFT,47.819638781,-2123,Market,Filled,-101521.09313206,take-profit - Warning: No quote information available at 02/17/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-17T16:00:00Z,CRM,62.62,1598,Market,Filled,100066.76,Warning: No quote information available at 02/17/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-17T16:00:00Z,PYPL,36.52,-2850,Market,Filled,-104082,take-profit - Warning: No quote information available at 02/17/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-17T20:00:00Z,CME,75.60185409,1328,Market,Filled,100399.26223152,Warning: No quote information available at 02/17/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-02-18T15:00:00Z,UNH,108.913715016,-965,Market,Filled,-105101.73499044,take-profit - Warning: No quote information available at 02/18/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-18T15:00:00Z,NVDA,7.4550608625,13503,Market,Filled,100665.68682634,Warning: No quote information available at 02/18/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-19T18:00:00Z,ATVI,28.869728036,3474,Market,Filled,100293.43519706,Warning: No quote information available at 02/19/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T15:00:00Z,GOOGL,726.61,141,Market,Filled,102452.01,Warning: No quote information available at 02/22/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T15:00:00Z,MDY,223.6495647,458,Market,Filled,102431.5006326,Warning: No quote information available at 02/22/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T15:00:00Z,EBAY,23.293088018,4405,Market,Filled,102606.05271929,Warning: No quote information available at 02/22/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T16:00:00Z,AMZN,555.15,-188,Market,Filled,-104368.2,take-profit - Warning: No quote information available at 02/22/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T16:00:00Z,AMD,1.96,52355,Market,Filled,102615.8,Warning: No quote information available at 02/22/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T16:00:00Z,EEM,28.04750001,3658,Market,Filled,102597.75503658,Warning: No quote information available at 02/22/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T16:00:00Z,UNH,111.208656459,922,Market,Filled,102534.3812552,Warning: No quote information available at 02/22/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T17:00:00Z,MSFT,48.267063318,2136,Market,Filled,103098.44724725,Warning: No quote information available at 02/22/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T17:00:00Z,NFLX,92.39,1116,Market,Filled,103107.24,Warning: No quote information available at 02/22/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-22T17:00:00Z,ATVI,30.331973508,-3474,Market,Filled,-105373.27596679,take-profit - Warning: No quote information available at 02/22/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-23T15:00:00Z,MSFT,47.490918713,-2136,Market,Filled,-101440.60237097,stop-loss - Warning: No quote information available at 02/23/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-23T15:00:00Z,PFE,23.397100028674,-4293,Market,Filled,-100443.7504231,take-profit - Warning: No quote information available at 02/23/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-23T17:00:00Z,IAU,23.64,4302,Market,Filled,101699.28,Warning: No quote information available at 02/23/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-23T17:00:00Z,EEM,27.71089362,-3658,Market,Filled,-101366.44886196,stop-loss - Warning: No quote information available at 02/23/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-23T17:00:00Z,EBAY,22.86940225,-4405,Market,Filled,-100739.71691125,stop-loss - Warning: No quote information available at 02/23/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-23T21:00:00Z,NFLX,88.5,-1116,Market On Open,Filled,-98766,stop-loss 
2016-02-24T15:00:00Z,GOOGL,707.4,-141,Market,Filled,-99743.4,stop-loss - Warning: No quote information available at 02/24/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-24T15:00:00Z,IAU,24.12,-4302,Market,Filled,-103764.24,take-profit - Warning: No quote information available at 02/24/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-24T15:00:00Z,MDY,218.75070678,-458,Market,Filled,-100187.82370524,stop-loss - Warning: No quote information available at 02/24/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-24T15:00:00Z,UNH,108.922858209,-922,Market,Filled,-100426.8752687,stop-loss - Warning: No quote information available at 02/24/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-24T18:00:00Z,PYPL,35.82,2785,Market,Filled,99758.7,Warning: No quote information available at 02/24/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-02-24T21:00:00Z,NFLX,91.08,1103,Market On Open,Filled,100461.24, 
2016-02-24T21:00:00Z,MDY,223.6959554,453,Market On Open,Filled,101334.2677962, 
2016-02-24T21:00:00Z,EBAY,23.139020466,4382,Market On Open,Filled,101395.18768201, 
2016-02-25T15:00:00Z,CRM,68.13,-1598,Market,Filled,-108871.74,take-profit - Warning: No quote information available at 02/25/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-25T15:00:00Z,ATVI,30.59171448,3317,Market,Filled,101472.71693016,Warning: No quote information available at 02/25/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-25T16:00:00Z,AMZN,548.31,186,Market,Filled,101985.66,Warning: No quote information available at 02/25/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-25T16:00:00Z,PFE,23.420242560848,4355,Market,Filled,101995.15635249,Warning: No quote information available at 02/25/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-25T17:00:00Z,UNH,109.928609439,933,Market,Filled,102563.39260659,Warning: No quote information available at 02/25/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-26T15:00:00Z,NFLX,96.66,-1103,Market,Filled,-106615.98,take-profit - Warning: No quote information available at 02/26/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-26T16:00:00Z,PYPL,37.31,-2785,Market,Filled,-103908.35,take-profit - Warning: No quote information available at 02/26/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-26T17:00:00Z,AMD,2.09,-52355,Market,Filled,-109421.95,take-profit - Warning: No quote information available at 02/26/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-29T16:00:00Z,EEM,27.66540627,3782,Market,Filled,104630.56651314,Warning: No quote information available at 02/29/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-29T17:00:00Z,IAU,23.82,4416,Market,Filled,105189.12,Warning: No quote information available at 02/29/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-29T17:00:00Z,MDY,227.65772118,-453,Market,Filled,-103128.94769454,take-profit - Warning: No quote information available at 02/29/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-29T17:00:00Z,SQ,10.79,-10296,Market,Filled,-111093.84,take-profit - Warning: No quote information available at 02/29/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-29T20:00:00Z,PFE,23.042247868661,-4355,Market,Filled,-100348.98946802,stop-loss - Warning: No quote information available at 02/29/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T15:00:00Z,CME,74.093114799,-1328,Market,Filled,-98395.656453072,stop-loss - Warning: No quote information available at 03/01/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T16:00:00Z,EEM,28.25674182,-3782,Market,Filled,-106866.99756324,take-profit - Warning: No quote information available at 03/01/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T17:00:00Z,MSFT,47.554836504,2215,Market,Filled,105333.96285636,Warning: No quote information available at 03/01/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T17:00:00Z,FB,109.55,-947,Market,Filled,-103743.85,take-profit - Warning: No quote information available at 03/01/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T17:00:00Z,GOOGL,737.5,142,Market,Filled,104725,Warning: No quote information available at 03/01/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T17:00:00Z,PYPL,39.53,2665,Market,Filled,105347.45,Warning: No quote information available at 03/01/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T18:00:00Z,FB,109.52,963,Market,Filled,105467.76,Warning: No quote information available at 03/01/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T18:00:00Z,JPM,50.40801773,2093,Market,Filled,105503.98110889,Warning: No quote information available at 03/01/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T18:00:00Z,MDY,229.633965,459,Market,Filled,105401.989935,Warning: No quote information available at 03/01/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T19:00:00Z,NFLX,98.05,1076,Market,Filled,105501.8,Warning: No quote information available at 03/01/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T19:00:00Z,MA,86.761088764,-1179,Market,Filled,-102291.32365276,take-profit - Warning: No quote information available at 03/01/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T20:00:00Z,CRM,69.54,1524,Market,Filled,105978.96,Warning: No quote information available at 03/01/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-03-01T21:00:00Z,AMZN,582.44,-186,Market On Open,Filled,-108333.84,take-profit 
2016-03-02T15:00:00Z,AMD,2.24,47233,Market,Filled,105801.92,Warning: No quote information available at 03/02/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-02T16:00:00Z,SQ,11.35,9364,Market,Filled,106281.4,Warning: No quote information available at 03/02/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-02T17:00:00Z,TWTR,18.47,5729,Market,Filled,105814.63,Warning: No quote information available at 03/02/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-03T15:00:00Z,AMD,2.47,-47233,Market,Filled,-116665.51,take-profit - Warning: No quote information available at 03/03/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-03T17:00:00Z,IAU,24.22,-4416,Market,Filled,-106955.52,take-profit - Warning: No quote information available at 03/03/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-03T18:00:00Z,SQ,12.33,-9364,Market,Filled,-115458.12,take-profit - Warning: No quote information available at 03/03/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-03T19:00:00Z,MDY,233.88335312,-459,Market,Filled,-107352.45908208,take-profit - Warning: No quote information available at 03/03/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-03-04T15:00:00Z,TWTR,19.4,-5729,Market,Filled,-111142.6,take-profit - Warning: No quote information available at 03/04/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-04T16:00:00Z,EEM,29.75782437,3662,Market,Filled,108973.15284294,Warning: No quote information available at 03/04/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-04T18:00:00Z,MA,87.041556,1256,Market,Filled,109324.194336,Warning: No quote information available at 03/04/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-04T19:00:00Z,CRM,72.12,-1524,Market,Filled,-109910.88,take-profit - Warning: No quote information available at 03/04/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-03-04T20:00:00Z,MSFT,47.427000922,-2215,Market,Filled,-105050.80704223,take-profit - Warning: No quote information available at 03/04/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-03-07T15:00:00Z,FB,106.63,-963,Market,Filled,-102684.69,stop-loss - Warning: No quote information available at 03/07/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-07T15:00:00Z,GOOGL,718.5,-142,Market,Filled,-102027,stop-loss - Warning: No quote information available at 03/07/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-07T16:00:00Z,MA,86.045413748,-1256,Market,Filled,-108073.03966749,stop-loss - Warning: No quote information available at 03/07/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-07T20:00:00Z,NFLX,95.45,-1076,Market,Filled,-102704.2,stop-loss - Warning: No quote information available at 03/07/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-03-07T20:00:00Z,ATVI,29.53351052,-3317,Market,Filled,-97962.65439484,stop-loss - Warning: No quote information available at 03/07/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-03-08T15:00:00Z,EEM,29.28475593,-3662,Market,Filled,-107240.77621566,stop-loss - Warning: No quote information available at 03/08/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-08T16:00:00Z,PYPL,38.37,-2665,Market,Filled,-102256.05,stop-loss - Warning: No quote information available at 03/08/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-08T19:00:00Z,CRM,70.53,1520,Market,Filled,107205.6,Warning: No quote information available at 03/08/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-03-08T19:00:00Z,CME,77.823921962,1377,Market,Filled,107163.54054167,Warning: No quote information available at 03/08/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-03-09T18:00:00Z,EEM,29.52129015,3614,Market,Filled,106689.9426021,Warning: No quote information available at 03/09/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-09T20:00:00Z,MDY,234.26375686,456,Market,Filled,106824.27312816,Warning: No quote information available at 03/09/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-03-10T15:00:00Z,IAU,24.38,4402,Market,Filled,107320.76,Warning: No quote information available at 03/10/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-10T15:00:00Z,EBAY,22.6286717,-4382,Market,Filled,-99158.8393894,stop-loss - Warning: No quote information available at 03/10/2016 10:00:00 America/New_York, order filled using TradeBar data 
